title,url,domain,category,added_date,favicon
Vibe,https://vibe.vend.com/home/,vibe.vend.com,uncategorized,2025-06-06T16:51:19,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAABnUlEQVR4nIxSPUsDQRC93duLgSSiSRQsDKKCVbDRFOJHYSEWEgxYJRCxsLHyZ1haq2CliGJE/AmiNhIlKthoIWgiahMvX5e7cXb3cjljERdub3b3zcybN8Msy1L+twghAMDw17wDe/3CUSoxeI8Gcz+jTfH5T2yJsTO0oF+us8V8gTLWwEEkNuYLBiXzhgMAnqmq3h5m9tKrKmNIQ7Kulr+Hp2dWTvY1r1cmoTwMUuQbeb64soy6tzNgVmtGuYKB/F3h15tcMf+OISQxXjQowgUAw4BiYZlT62vdkf7c8enT+aW/t0cR7IkIzSlhlZYCVHiaZi2+uTGaiOP9+HJyaz7xlrtHtjyu0Io66uFXr1QD4T5EZw+OdpdSmDCaiBt6ibiUE2oIuFCJsA4PGoWHx7vMGRqqRyOa5ijLHTg5pAScUkXXSx9fdgNRR0KMUlkvflqmiZSksnaniaoiJpZODk1O4DG6uBAaHEC/kbnZ1M62LxTkcYXW3E+2UMrsjIDbcGy+u4cPafBKRDYQrXR62hytllFru5iTqy1Uwn4AAAD//098UCUAAAAGSURBVAMAnjPw3rgHuF4AAAAASUVORK5CYII="
ChatGPT Usage Survey (Responses) - Google Sheets,https://docs.google.com/spreadsheets/d/19U-1UB90KGuPfvWOpRfUPMo458eZ35JqhS_RxHWs0rE/edit?gid=422215140#gid=422215140,docs.google.com,work-productivity,2025-08-08T16:52:55,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAAg0lEQVR4nOSTwQmAMAxFf6UDOIJL6CIKHp3BDeoGXaPgJi7hCJ3AaIRCKYIGexB8l4aGfJIfohvXDhvBAighQAGrUjCaCEZazBBQHbVWc5Aml34+39p1dzqlxkvyCYS2Y67+AmG8fB3EhglMxIdM/LmAR3JMT9bH8EUWimjkAHI8iKYdAAD//4QIUiIAAAAGSURBVAMAVAIjDTGRLCkAAAAASUVORK5CYII="
Lookup Tool,https://document-lookup.m10s.io/,document-lookup.m10s.io,uncategorized,2025-09-29T10:42:28,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACa0lEQVR4nKSSz0sVURTHz7k/Zkbr8XxIi0xTwkJpYaRQgcRrI0FYKGqtslWuCmpb0WDlH6ArWxXYz1egq1bSQAktCvuFVFKbpEc9w0yf43Puvac7hpYpGXRgDmfunPs553zPCPhPE7HbdaPliGBQbhAjBoDG2EOOxsaORvVwtGNozJ6gfWg1oLfalRz6ZKqowswrQIagLYCskyUeFD7nL9u8C5AGDgGoPwG46K+f3ApMpYBQO4xjFUx6Ca4ZIce5wvT4m87hr38dgdhVxzbn2VDbGgQn4KUlF36lEUI7MNhpv/loVnRAveAu1PJxp5RVQGhHdAHCKTpaPKLv9W+u513ZZg2+b1bWtUB7dXkEFUCzzSi3/FhE4EkYwt2QWxKuqWeyRqNb53jexIMzcmS1BsvUn9YPDaILnsWC0YFLsz0FEmc5Q1cZIJdFwxrD44/ObcrGd5DSaZETs6+SktfkrfIxxWMSvNxYS2XrlLPdgTt7Kwt0sE6Y8ayGzAuHhzOz94PzibYYIDJBQPvTDQMFYyo1GB1DldBWXudDqdEXt5Rw47c6WnCQjTsYTIdK3xyBQ8f68mW3T+En0RErHzy9AmvYvqa54iKZAMGNJLJbRcBkMTBj9ztPvGhxjWmfhJQztwB5LRkVWVkYkEGbHRGy6rdZwwYea9W2h9Prj8YMPmfOBseMDp723i+KGANQ5AcYl7VGR5HVgP225FATlYFIVKUSAN/ztl2lwP65ORXOHQ785BOEdSztf9nI3ESbQqeO6XCCkXmHwrtmi6UoWti2LmAta+z+Vi+57KRId/8ToP0u8aU4k4kd6qX3HwAAAP//DUvggwAAAAZJREFUAwCopQCkMLWi/gAAAABJRU5ErkJggg=="
Bob the Builder (2025) - Google Drive,https://drive.google.com/drive/u/0/folders/0ABgcZHVsZcfzUk9PVA,drive.google.com,work-productivity,2025-06-18T15:43:33,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACvklEQVR4nIxTTUhUURQ+59z73jQzjUNjpVZDWCIVaJG1EAtBpDaBtVAyaiFCQbSJEJIgpyhy0SqIcNXGpF8ohIJIoUUbEykjyYVUYtgijUZH5827957uGy2DNDrvXe653HvO933ncAj+NoQVjJe5k8sEc/nN+n3p6cxRo400DBgLsXer7EM3NqUH/oWW96vuHt4CIN5OffsezaXn4YdxoLFkGrpKR6aUMpWRAzC5+JiDnX6HpxbQWcNVJ+pGY9FwNpc1fkx5ftvaT1l3NRcSi458YGoJGBfFof14d8+ROnLFC1DGCEL8OJ6GU6tH4XL5OPlGaiHZaKVr3Hp4zSkgTIFZYtBV5QBiJ9pAezKaBGzeEBk/V/p1EgQZZjbkoINGdHIA2PFLgs2UR48nW2TY2WtyWtkrclygCSy4GJ/L3YCQIIuEao61jGBdrk80WRjOswiy7LjfmAizGUZBJay0Ile67KmhweZHe/g2hvyk88YJcbnyjBIuSeOZMWHMLjwImbyEVVq1y4jcyL7WFkhaupBjv836jC2QdcA/n68SoLBJtIhhmSI6m5dQ0dO8zfI4qee1QauGQgKM590ZPtbbD6kUpQKa9fwEMqpXhhitMWTBIMGZuceQxGT7g/2ko33MKIOykGQvGat450BCGdAgLIoHYd5q3svrY8crHaVsGgJGk4GoVxO01SlqHX1ObqTW99J6fbxQbCwuQgNmgXVQUbtmbf7TQ9e44XO3hnBCZrxcb9GrgYaguD64XjvDDIbDAtcVRpXWc77xs7Yf875WWV9bX6iserj9hJpaU2K7Nqv8uL4QoFuGjJnB4onQztY1m4o3VxdECwSgK0i6Qgi724XWd4loKhIXCCGsnnh6JdE/ci8Yrj9mgbH20swhJLEeiDVbBSIogA5+eyCy741kpb687Eg8WwzmFUf3f+0nAAAA//9qG30DAAAABklEQVQDALDeOeMbgAO2AAAAAElFTkSuQmCC"
NotebookLM,https://notebooklm.google.com/?pli=1,notebooklm.google.com,uncategorized,2025-05-21T12:57:59,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACYElEQVR4nGyTsYtaQRDGZ98zHnLHHeSuEIJFzuKKNHfFgXhBiMQiQSGQFCmChWARRP8CY2FABAuLQCwsbYRIIIIklSgJNhrFeJYSr0g0WIkYIVE33zz3JXJk4cfbN7szOzP7rYX+DQEksIHH4D64BdbgK3gH3l/ba0y2DU9BHNwRQhDDY73mGLQCn8AL8BFovCS2nNnxJe/UNA0+a7m1JrWNkZ1+gWfgDW81M3jCBpy4lNLITHc4HHR2dkbz+ZxarZaYTqe8sAQW8BO4wCUHuAma4DantL+/r2cyGXlyckL9fl8cHR2R0+mUpVKJ0uk0l7XCIRzkA3jIAZ6D17ywt7enlctlMZlMqFgs0mg0omazSTs7O/wvx+OxCIfDknuDINyYC67Jy+XBIGOxGHk8Hmmz2cjr9VI0GqVer0cul4sCgYA4Pz+Xfr/fcOaewPeeUB29QNR1p9PR+bRcLkfdbpfq9Tq53W4qFArk8/k4OAeWwWBwqeu6ZbVaveIov7lrVquVDg8PyW630+npKcXjcapUKtRoNCibzVIkEqF2u03okdF1OBtfDvDdEIIQcnd3VyYSCRkKhYwTZ7MZJZNJqlardHx8TAcHB5IzVH48rnhSZX+UJGq1GuXzeTJVlkql/p44HA7lYrEQg8HAFB5faZUnvKMNnKhrCbFYpBKDCsxNYyEJFhe+S6R/Q0n7kSkkn7pXU7IW+v/gflnBDyWkoa7q4by+Af+W88qUsUJXTGjz2L5whrpa1FQZfKUO2rxCq7KbsHzfghD4rGxSbKVnvC41vwseALtq1hUog8vre/8AAAD//+d1VmwAAAAGSURBVAMAlg3qcNIFLB8AAAAASUVORK5CYII="
▶️ n8n ELT+1,https://n8n.dept-of-ai.com/workflow/nqat0BHBjDlJTkYI,n8n.dept-of-ai.com,uncategorized,2025-05-21T13:38:39,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABdUlEQVR4nMRTzyuEURS9532fkR/JwjAUJaWwtFFK2TGSUrOwIKWk2EyyIo2VhYxfJbFkNyULGn+AjTLFQmExkTJjGDXMjPnxfe96M8VCakxTnN7m3fvu6ZzzujoVCJ0KxN8TsMslQqexRmhJYS0J+PGrIYdDi8SbKmAkkbBwl5AYJQarc5BTAbePFz3HyqZYJDtZRwqSWgm8ZDJFBWhYD9mdPSSol5gvrMH47lNNaRsDIwDdGYjtPJplTUJQp4CYM1J4gUV2E9OQGpYgeBHqc54wYQvEA0x0rzy1ANhnpg71JilJVCiyy+pD9+JnBmHfW7Mh03pNMHGdV4gh+4wtfBZpgGlc2bwbr5kaviwQnVsDsb3vFkTGAmhe9dcZNAEmS0ZpqpRm6z0r7zl/IRuirXySiQfV1S+FtqCZ0m1I6aw9Xr0VuQjg205XHbnXCOaYUiWENJdV+SaRqAxm+5QHHvqnqzQYdShO+6s9m9G8CX7C/y/TBwAAAP//Ef/VKQAAAAZJREFUAwBQnZkGwUTbCQAAAABJRU5ErkJggg=="
Kolbotn vær,file:///Users/eivind.throndsen@m10s.io/Documents/scripts/kolbotn.html?zoom=2,,communication,2025-05-25T12:44:50,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACwUlEQVR4nJxTPUwUURD+Zt7bhUO4Q9CosfAnameiFv4lKiZGElotLChMJBFNjBUJrYmJWFhYKGhiR2JltNEQQgGFohbGUIAGRYMNioAcHHB7b984bw+NtbvFTnbme/N9M9+zyB4hgCQLBxdOwdNlgE+BsKWaxnfAj4DlAc5uHPkXQ/jz9M/lsdn2gPgSojiGSxTjqzlmwMZAJUkg/hFmXTfam4shRdlJL+YbYOwTNOTPYLko+ivV/wYU0hKKNKRUE0bq84Sl4hBSdw5tTUucUWfTg3oFF4vaQV+IrbKUAAwfeOetOM1pDYVGAZNJGJg/AY6GcoZMmnpKvGcwSR2BnCpItO+2HGN7LUs5Ffq4Ij4RCrRS+MoZCzKdMHH8eD+70QXHtyfLEsWg54fq8PBbguk1j6cH61BviCKGTJSELoyt+vG1KGbxnSoBLXAV2ZNjbopUrXapeMHOWkZzTOjaVYPxZY/jo8s4/bpEVktu7a1hVCpBYItVMlsldRQ6HSkYYj1kh1IuRDp01V6nLV4uOLyf1bka4N2io30bNFCMGNoaDsw2enOqjGcHcvjU0gBlioKtDm9JcRe3xzi20QY8jjQadIyXgzcQ6LMnzCC28moulaNvVuTOlzKuTaxhpiww6y7REFMrKU42Wdz4nEj/Vx1jbSQBG5oNw0Sk4vxUyePeVCKtm2ymf+inw26VM6jfjrcruDudyPUdMQ5vMl4UoIyGdd9pnzrsvBDrAFKxEXiuAmkfW6VJ5d+7vgnOsXR9WKUfiTY2yk1dqZvuq5Ic+HUf+cIVdVgwktVNsDooRICr+lUF61Dg4dROjYUYpcVetDZe5WyEPu3O7NmQj0MhR+zYVqfLOszAVU9xIWeaCzGVgpUVI8o7s3KbXoxZ9fZSsVdbVXxUYz1xdk+8FkmI4xobcmmx2CuhNmDo7238/+v8GwAA//8ijADWAAAABklEQVQDAI5DXNUpj638AAAAAElFTkSuQmCC"
NotebookLM,https://notebooklm.google.com/,notebooklm.google.com,uncategorized,2025-05-21T13:39:07,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACYElEQVR4nGyTsYtaQRDGZ98zHnLHHeSuEIJFzuKKNHfFgXhBiMQiQSGQFCmChWARRP8CY2FABAuLQCwsbYRIIIIklSgJNhrFeJYSr0g0WIkYIVE33zz3JXJk4cfbN7szOzP7rYX+DQEksIHH4D64BdbgK3gH3l/ba0y2DU9BHNwRQhDDY73mGLQCn8AL8BFovCS2nNnxJe/UNA0+a7m1JrWNkZ1+gWfgDW81M3jCBpy4lNLITHc4HHR2dkbz+ZxarZaYTqe8sAQW8BO4wCUHuAma4DantL+/r2cyGXlyckL9fl8cHR2R0+mUpVKJ0uk0l7XCIRzkA3jIAZ6D17ywt7enlctlMZlMqFgs0mg0omazSTs7O/wvx+OxCIfDknuDINyYC67Jy+XBIGOxGHk8Hmmz2cjr9VI0GqVer0cul4sCgYA4Pz+Xfr/fcOaewPeeUB29QNR1p9PR+bRcLkfdbpfq9Tq53W4qFArk8/k4OAeWwWBwqeu6ZbVaveIov7lrVquVDg8PyW630+npKcXjcapUKtRoNCibzVIkEqF2u03okdF1OBtfDvDdEIIQcnd3VyYSCRkKhYwTZ7MZJZNJqlardHx8TAcHB5IzVH48rnhSZX+UJGq1GuXzeTJVlkql/p44HA7lYrEQg8HAFB5faZUnvKMNnKhrCbFYpBKDCsxNYyEJFhe+S6R/Q0n7kSkkn7pXU7IW+v/gflnBDyWkoa7q4by+Af+W88qUsUJXTGjz2L5whrpa1FQZfKUO2rxCq7KbsHzfghD4rGxSbKVnvC41vwseALtq1hUog8vre/8AAAD//+d1VmwAAAAGSURBVAMAlg3qcNIFLB8AAAAASUVORK5CYII="
dAI Drive,https://drive.google.com/drive/u/0/folders/0AIqHhKZgTGh9Uk9PVA,drive.google.com,work-productivity,2025-05-13T10:56:09,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACvklEQVR4nIxTTUhUURQ+59z73jQzjUNjpVZDWCIVaJG1EAtBpDaBtVAyaiFCQbSJEJIgpyhy0SqIcNXGpF8ohIJIoUUbEykjyYVUYtgijUZH5827957uGy2DNDrvXe653HvO933ncAj+NoQVjJe5k8sEc/nN+n3p6cxRo400DBgLsXer7EM3NqUH/oWW96vuHt4CIN5OffsezaXn4YdxoLFkGrpKR6aUMpWRAzC5+JiDnX6HpxbQWcNVJ+pGY9FwNpc1fkx5ftvaT1l3NRcSi458YGoJGBfFof14d8+ROnLFC1DGCEL8OJ6GU6tH4XL5OPlGaiHZaKVr3Hp4zSkgTIFZYtBV5QBiJ9pAezKaBGzeEBk/V/p1EgQZZjbkoINGdHIA2PFLgs2UR48nW2TY2WtyWtkrclygCSy4GJ/L3YCQIIuEao61jGBdrk80WRjOswiy7LjfmAizGUZBJay0Ile67KmhweZHe/g2hvyk88YJcbnyjBIuSeOZMWHMLjwImbyEVVq1y4jcyL7WFkhaupBjv836jC2QdcA/n68SoLBJtIhhmSI6m5dQ0dO8zfI4qee1QauGQgKM590ZPtbbD6kUpQKa9fwEMqpXhhitMWTBIMGZuceQxGT7g/2ko33MKIOykGQvGat450BCGdAgLIoHYd5q3svrY8crHaVsGgJGk4GoVxO01SlqHX1ObqTW99J6fbxQbCwuQgNmgXVQUbtmbf7TQ9e44XO3hnBCZrxcb9GrgYaguD64XjvDDIbDAtcVRpXWc77xs7Yf875WWV9bX6iserj9hJpaU2K7Nqv8uL4QoFuGjJnB4onQztY1m4o3VxdECwSgK0i6Qgi724XWd4loKhIXCCGsnnh6JdE/ci8Yrj9mgbH20swhJLEeiDVbBSIogA5+eyCy741kpb687Eg8WwzmFUf3f+0nAAAA//9qG30DAAAABklEQVQDALDeOeMbgAO2AAAAAElFTkSuQmCC"
Free Teleprompter Software [Voice Activated] Updated 2024,https://telepromptermirror.com/telepromptersoftware.htm,telepromptermirror.com,uncategorized,2025-10-03T12:06:42,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAAXklEQVR4nOSSwQkAIQwEc7KVXCFX1BViURZiK4oPQVZFYvw5DxGSbMImECMoz+djkg3C/z4QI2DF+uepZjHzBG7UYUWbC20xi5w18VKBzv3VWfPGnKZ4lKPeP2P2IAMAAP//iHP0HwAAAAZJREFUAwA7DRrl+d1rsQAAAABJRU5ErkJggg=="
Foundation,https://docs.google.com/presentation/d/1olIfBhA7kNbGhkVCGbPeDCpJOy5uoOSENdbdWP3lXVM/edit#slide=id.g28c45093ffa_7_78,docs.google.com,work-productivity,2025-01-10T13:49:19,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAAb0lEQVR4nOzRsQ2AIBBA0X9KZ+MI7uMQzuAGuoHDaBxHRqDQ2GgQCk0sgcbCl5BAwYfk1D7THCeDQEkYned0so4s7lARx6iEy16pSPQEitoSYpvkHUj+wR/4QuCea3QgVuaWIZ7OEFq/IZD1Dwv9BQAA//9nkBR+AAAABklEQVQDACBhFEwOgb+pAAAAAElFTkSuQmCC"
Zendesk,https://m10s-customer-operations.zendesk.com/explore/studio#/dashboards/4FE42A117B9C2DC4968D2F0FAB4ED05105AE3D51F59C180BC5C3C422E150EC85,m10s-customer-operations.zendesk.com,uncategorized,2025-04-30T12:40:46,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACCklEQVR4nKRST2sTURCfN2/zZzfG1D8R6UF7ERWMBW2E1lZQ8CLqrYeK1yoK+gHqwQUPgl9AwUP1IGJyEE2LUCselKJERbRHP4DQg6Dt2mz2zThv05psNIJ02H28fTvz+zPzEP4/dM+Pf8bh4RJs2RzB0lKwdqLsgj3SVTcJapzEwo43cGT09No527xeANy9J1KBQr0HQdV0eewJDI0csP/+CrDv/vw2YFYJqaiQmYy8AWt9FtH5jENjU90Aqr9W87Kuelaqzh1qeb+ALQVMokWJCg9MFCqm20ThTBvA9+2ei0HmSqpYLCOra53IqMBViKKCZ4iiY6b++jJ8ePspIXP/gxe7Mmn1UfTmJNlprjbOLE6cnI07WR6ZlLVp6q/urWO2e+D7FoBTaG6g6/ZxFFqx1vfNgemXWUtg6gt3u4qpBWCl+z4NVp6P6kz6HAWBkeE4FK4ax/NKBY8vxZMYH9fQHjtBBxJApaIVwy3QjmZpvzziFZDCkJTiqb0P5/qhWo0Zu5oOMfvBaOt5dHPD1PgZxaqkSklw1CT03O1Zpa7HxS2rybENTD/uK+Ty7zGV3k3NkCF5Oy2QaNEkbTm6OHH83brl3wCDj+bv6Hz+oglWxLqQQ5KEjQGd2wTR8veFla/hiS9XT4WdVhwCesrB8izJgJH4D4lGuOjHNzGGmN7ppuSokbAAG4xfAAAA//9fHo93AAAABklEQVQDALDs0j3gjue8AAAAAElFTkSuQmCC"
AI Academy - Deep Learning spring course 2025 - Google Drive,https://drive.google.com/drive/folders/1OFDK6myZGFuWpRUFqDV4jnRgGXTIu0Xk,drive.google.com,work-productivity,2025-04-24T12:05:03,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACwElEQVR4nKRTTUhUURQ+59z3MzO+mZzRWaQMA7mwJGxatNGEoh8KIqIyBHURrdoKZUTQ2KIfahO0sk0/i8R+wNoFkpuECiQpgqQkrETMxTg6znvvvntvd8axJrJVBw5c7jvf+c73vXMJ/g6Ef4Ra55uxDli13Dmwp+DxLunyMiAcInWrZnoIe2ZG12qqAX+cW4YPpRwz8i6Xz8f4UhEWwYIj0RwMJiby83nRurEbZirF5Sb0C55d7RxG+xIyitWQ5Qau8B3X988bH11miFhdGAbKwOxvYqqASafMPD7azgzWExR8YVuGzZ2YdTo2azXZ+ZC7BMJg0KNGoB11rcquYqnKITQlXdEnplMqxpQTj8ydSnyb0zdSU0pEYIGEq0pVT1Bh3/7oeC/ZrEN4QVCSaIQZ5Vn0THKpOAARIA1G7kJgWLBTjEDv2hSlTrhpeG8sQbWTiJiSvhBkMROUevvm/dYdajaLwUF4TQSZwANumOUJvxKHbXAC8iUJKk51fcy20hos9VBMmwiSQT9kswEOahDCOdB32nbGfZBkQ1ovQF/JUGwdPtxsMzWuBNaClILChhn4cmiic6QbsgNGp2Z4mL0o1ZMN9yG03OUXdUNSTDfIkVRtmLr8qoO480JyrhWU+TEdSk1ZFFsUeg5D8xbQkk3+dPTmh2PNkguldJ3NSBlWcTfLj97+bmdqMogbt7jLtohjkuJhp15raSTABgmsIax44yezvr52rgiZL2OSeAPjC+pp7Nnkde0BCrIXLgAUvJAlKOkowYMiF95KIHgxkH4h8Hw3iHsr/O7mk+JHIkUGLXpeVGkMai2gaPll7bzd1m+mk3W7HMsiYBZjpk1kWuVEM0Q2IVuIRMgMpbHj870b0bGpB9pUqixESRWq/df4Pq5kXMsW+rdVvRPthmR6fXzmkZMbP4vPSy8TV4H/Fz8BAAD//1ZN9ecAAAAGSURBVAMAF8MkTRHA8NoAAAAASUVORK5CYII="
m10s Okta,https://m10s.okta.com/app/UserHome?session_hint=AUTHENTICATED,m10s.okta.com,uncategorized,2025-04-15T16:38:28,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACEElEQVR4nHRTPUgcQRT+ZnbvDj2bI3BFcomSQP4IKZREkiIhXplUIQQUA4FUgUCaQCTXCBIhSZEiIaQRCwsbbcTGwuMKFfxDRMHGxj/Ef1RO8W5vx2929+7m0HvL2337zXtv3nvzjQ1THn6Jwgm/hFKvAdFMJBGsrFOniPchGkljtvOkGCJKwQ9S11FQHbRaqTFcLnuMGETO6cLyT50UlgffTl0D1F9a7dQaVJdaaiMseQvxpxPYGT+00NRZC6fQzcxtFRUBWeoGkQN+bWrEqPoOICOoT2YksmcthN4YwS51lBW1wxLP4Yhn7L2Nmg7WiklacZp7ZUOId/y5UtpXqQyE/ICl7hWjmg3cSy1wsYd2MsBietiSxmPD8Zj6G0vfVy5072HenLJlUDTrBInyP3bgyjlUE0vO8r1tIAlZ4aCYwnasqglkXnuoCgg+SYoSh5KNVRPkQ48YHjeQNSZQkwYQZR+fOLD6C8F3Oxro+5lWnYFOC9z/9pZZ/6PMPtc/CfxBqDADNyRQcJu8xMCLoGote/R7b6MmPIyTXD+Bj/DPV/JoW6BPx7G36URMxP3qSqL4DOh7YWEzkyctFxl3Ex7DSoQKB1XFArscDAzBFV+x2LXvT5ycxtUnYxyg7q8BPucvE03rXjI0RV4Yl0nL1vgRbiTTvGnzbMEOSq6DT99VbjzCXX8hnPuHhR+7xbBzAAAA///iqZUFAAAABklEQVQDABEknSsJ0Li/AAAAAElFTkSuQmCC"
m10s - Logg inn,https://m10s.okta.com/app/m10s_sana_1/exklu0vsawvAip3Ar417/sso/saml?RelayState=eyJwYXRoIjoiLyJ9&SAMLRequest=lZJPT%2BMwEMW%2FSuR74rg0gVptpSwVohK7W9HCYS%2FVJJmChf9kPU4p3x43ZbVwAAnJB%2Bt53vj97JkSGN3Jqg%2BP9hb%2F9kghORhtSQ4HM9Z7Kx2QImnBIMnQyHX180aOslx23gXXOM3eWb52ABH6oJxlyXIxY9uymJR5UV6kTbnL0%2FHuok1raOsU6rqYQHsmzicFS%2B7RU%2FTMWGwRjUQ9Li0FsCFK%2BahI83FcGyHkqJQj8Ycli8ihLITB9RhCR5JzI3LK3FOArHGGQ9cNypbAwlZwPDzpPt8TPO8r1Z1VfizOOZHjRyqWrN5YfyjbKvvwNWZ9KiJ5vdms0tXv9YYl1T%2F0S2epN%2BjX6Peqwbvbm%2F8RNYK30amhzo65MlD8kHoEHZRBDvGbhjwcGmLz6XErh%2Ffw82%2B3MBighQBT%2Fr7N9DQQvyLTcrFyWjUvyZXzBsLnyCITg6LadDeUyt5Sh43aKWwjudbu%2BTImCDhjwffIEj4%2F3fpx8uav,m10s.okta.com,uncategorized,2025-04-04T13:26:30,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACEElEQVR4nHRTPUgcQRT+ZnbvDj2bI3BFcomSQP4IKZREkiIhXplUIQQUA4FUgUCaQCTXCBIhSZEiIaQRCwsbbcTGwuMKFfxDRMHGxj/Ef1RO8W5vx2929+7m0HvL2337zXtv3nvzjQ1THn6Jwgm/hFKvAdFMJBGsrFOniPchGkljtvOkGCJKwQ9S11FQHbRaqTFcLnuMGETO6cLyT50UlgffTl0D1F9a7dQaVJdaaiMseQvxpxPYGT+00NRZC6fQzcxtFRUBWeoGkQN+bWrEqPoOICOoT2YksmcthN4YwS51lBW1wxLP4Yhn7L2Nmg7WiklacZp7ZUOId/y5UtpXqQyE/ICl7hWjmg3cSy1wsYd2MsBietiSxmPD8Zj6G0vfVy5072HenLJlUDTrBInyP3bgyjlUE0vO8r1tIAlZ4aCYwnasqglkXnuoCgg+SYoSh5KNVRPkQ48YHjeQNSZQkwYQZR+fOLD6C8F3Oxro+5lWnYFOC9z/9pZZ/6PMPtc/CfxBqDADNyRQcJu8xMCLoGote/R7b6MmPIyTXD+Bj/DPV/JoW6BPx7G36URMxP3qSqL4DOh7YWEzkyctFxl3Ex7DSoQKB1XFArscDAzBFV+x2LXvT5ycxtUnYxyg7q8BPucvE03rXjI0RV4Yl0nL1vgRbiTTvGnzbMEOSq6DT99VbjzCXX8hnPuHhR+7xbBzAAAA///iqZUFAAAABklEQVQDABEknSsJ0Li/AAAAAElFTkSuQmCC"
Tana,https://app.tana.inc/welcome/app?ampDeviceId=b3a9c278-4177-4444-968a-345e3f6d3744&wsid=bkVkyeGImOC-,app.tana.inc,uncategorized,2025-03-04T18:25:59,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACC0lEQVR4nKRTvW4TQRD+dvZs39myZBskkF0l8QPkGSzxI54BKUI8AQU0QIlIRxWKhBSIVCg1LhAIyWl4BpQiNpYgse9wsOzznW+XnfWd41AmK512d2a+mW++2XNwzeWsnEW1evuBJr0hlFJsICLBu7lq3jUblDgOgl+f+GpBKThfvXFrnwQ9vEgnIImQJoDWeulSWh0Ew9+PzTGSbKhWb94nym2boIQ/YqA5jMdjHcexzufzjNYmUWKZCbnpFgrfw3Dyw1lQlRvsNxhmKcMwtMxarRam0yk6nSMUix5yuRx3p4TQaoFJNWAjSRK8kiRBvV4XjUYDBx/eW8p77/axu7uHwWCgHccR3J/KdMr6Yn1msxnW19fEUecbtl+/Qrvdhud5ePb0CQ4PP6JSqYj5fA4udGkKmdrcexjO0O3+xOnpGWq1Gnzfx0m3iz9BAKMHFli9xCzHyIyMWOj3+7hz9x6azSa+fvmMXq+Hra1HGA59sIZcZHUilM2ZM3MSIxS4lSiKMJlMLIDvcRxBSmnBaay+pAHPjR3pJGxQuVyG67qZRtaXtqD/14CMif3sEIaFZurPX7zE+flfjEYjW31RxqbhIrQyxuSYpJ0jexOzE7ezs/PWMimVShlYsc/UIMawzaY1L+rE9Ypr5ilvmgDJQbw8r0iuW6C0Vcp89in7Z2+MLREXGlzvZ7ry+gcAAP//PmOZgQAAAAZJREFUAwA/gxid8fxR4AAAAABJRU5ErkJggg=="
